Name,Address,Rating,Total Reviews,Latitude,Longitude,Place ID,Image File
Noman VIP Chicken Biryani and Food Center,"W452+J6X, Shanti Nagar Shanti Nagar, Karachi",5,1,24.9091159,67.1005969,ChIJRzsucts5sz4REeuyRqln2qc,restaurant_images/ChIJRzsucts5sz4REeuyRqln2qc.jpg
Ideal burger,"W452+G74, Unnamed Road, Bashir Village Shanti Nagar, Karachi",5,2,24.9087617,67.1006902,ChIJk1F0CMs5sz4Rp3APPd7FXh0,restaurant_images/ChIJk1F0CMs5sz4Rp3APPd7FXh0.jpg
Al Rehman Biriyani And Pakwan Center,"Street number 15, Gulshan-e-Iqbal, Karachi",3.8,6,24.9086608,67.1006459,ChIJz8V4y4o_sz4Rhuh5roDbjkI,restaurant_images/ChIJz8V4y4o_sz4Rhuh5roDbjkI.jpg
lazeez halwa pori,"Suleman Plaza, forevershine, Block 10 Gulshan-e-Iqbal, Karachi",4,1,24.9128035,67.1022454,ChIJnQRvGZc5sz4Rrz0UuxCtfD8,restaurant_images/ChIJnQRvGZc5sz4Rrz0UuxCtfD8.jpg
Red Chillies,"Shop # 1-2, Suleman Plaza, Karachi",3.7,26,24.9128035,67.1022454,ChIJh0MryPg5sz4RGW627Vvc8VQ,restaurant_images/ChIJh0MryPg5sz4RGW627Vvc8VQ.jpg
Mr Fish,"W472+6VR, Block 10 Gulshan-e-Iqbal, Karachi",4.1,121,24.913106,67.1021293,ChIJ3Ur4e7U5sz4RWB0Cj2JmRpg,restaurant_images/ChIJ3Ur4e7U5sz4RWB0Cj2JmRpg.jpg
MASTER ONE,"Suleman Plaza, main Rashid Minhas Road, Block 10, Karachi",3.3,4,24.9129732,67.1026824,ChIJAZFB5mw5sz4RcxrPSm-EP1M,restaurant_images/ChIJAZFB5mw5sz4RcxrPSm-EP1M.jpg
Star A one biryani & A One Pakwan House,"Block 10 Gulshan-e-Iqbal, Karachi",4,349,24.9124922,67.1033137,ChIJOX_h1tA4sz4RvxqsG_HTdPI,restaurant_images/ChIJOX_h1tA4sz4RvxqsG_HTdPI.jpg
Papa's Kitchenette,"Block 10 Gulshan-e-Iqbal, Karachi",5,6,24.9116353,67.0983676,ChIJHWxdysA5sz4RnQx5RMAKx0U,restaurant_images/ChIJHWxdysA5sz4RnQx5RMAKx0U.jpg
Super A one pakwaan house,"Shop #5, Raza Square, Rashid Minhas Road, Block 10 Gulshan-e-Iqbal, Karachi",4.2,10,24.9123724,67.1034572,ChIJ7YWMeQA5sz4R2Et6NR__rGw,restaurant_images/ChIJ7YWMeQA5sz4R2Et6NR__rGw.jpg
